bin_left_um,bin_right_um,count
4.745682042873048090e+02,4.760599201542083847e+02,2.000000000000000000e+00
4.760599201542083847e+02,4.775516360211120173e+02,1.000000000000000000e+00
4.775516360211120173e+02,4.790433518880155930e+02,0.000000000000000000e+00
4.790433518880155930e+02,4.805350677549192255e+02,0.000000000000000000e+00
4.805350677549192255e+02,4.820267836218228013e+02,1.000000000000000000e+00
4.820267836218228013e+02,4.835184994887263770e+02,1.000000000000000000e+00
4.835184994887263770e+02,4.850102153556300095e+02,0.000000000000000000e+00
4.850102153556300095e+02,4.865019312225335852e+02,0.000000000000000000e+00
4.865019312225335852e+02,4.879936470894371610e+02,0.000000000000000000e+00
4.879936470894371610e+02,4.894853629563407935e+02,1.000000000000000000e+00
4.894853629563407935e+02,4.909770788232443692e+02,1.000000000000000000e+00
4.909770788232443692e+02,4.924687946901480018e+02,0.000000000000000000e+00
4.924687946901480018e+02,4.939605105570515775e+02,1.000000000000000000e+00
4.939605105570515775e+02,4.954522264239551532e+02,0.000000000000000000e+00
4.954522264239551532e+02,4.969439422908587858e+02,0.000000000000000000e+00
4.969439422908587858e+02,4.984356581577623615e+02,0.000000000000000000e+00
4.984356581577623615e+02,4.999273740246659941e+02,0.000000000000000000e+00
4.999273740246659941e+02,5.014190898915695698e+02,0.000000000000000000e+00
5.014190898915695698e+02,5.029108057584731455e+02,0.000000000000000000e+00
5.029108057584731455e+02,5.044025216253767780e+02,0.000000000000000000e+00
5.044025216253767780e+02,5.058942374922803538e+02,0.000000000000000000e+00
5.058942374922803538e+02,5.073859533591839863e+02,0.000000000000000000e+00
5.073859533591839863e+02,5.088776692260875620e+02,0.000000000000000000e+00
5.088776692260875620e+02,5.103693850929911378e+02,0.000000000000000000e+00
5.103693850929911378e+02,5.118611009598947703e+02,0.000000000000000000e+00
5.118611009598947703e+02,5.133528168267982892e+02,0.000000000000000000e+00
5.133528168267982892e+02,5.148445326937019217e+02,0.000000000000000000e+00
5.148445326937019217e+02,5.163362485606055543e+02,0.000000000000000000e+00
5.163362485606055543e+02,5.178279644275091869e+02,0.000000000000000000e+00
5.178279644275091869e+02,5.193196802944127057e+02,0.000000000000000000e+00
5.193196802944127057e+02,5.208113961613163383e+02,0.000000000000000000e+00
5.208113961613163383e+02,5.223031120282199709e+02,1.000000000000000000e+00
5.223031120282199709e+02,5.237948278951234897e+02,1.000000000000000000e+00
5.237948278951234897e+02,5.252865437620271223e+02,0.000000000000000000e+00
5.252865437620271223e+02,5.267782596289307548e+02,0.000000000000000000e+00
5.267782596289307548e+02,5.282699754958342737e+02,0.000000000000000000e+00
5.282699754958342737e+02,5.297616913627379063e+02,1.000000000000000000e+00
5.297616913627379063e+02,5.312534072296415388e+02,0.000000000000000000e+00
5.312534072296415388e+02,5.327451230965451714e+02,0.000000000000000000e+00
5.327451230965451714e+02,5.342368389634486903e+02,0.000000000000000000e+00
5.342368389634486903e+02,5.357285548303523228e+02,0.000000000000000000e+00
5.357285548303523228e+02,5.372202706972559554e+02,0.000000000000000000e+00
5.372202706972559554e+02,5.387119865641594743e+02,0.000000000000000000e+00
5.387119865641594743e+02,5.402037024310631068e+02,0.000000000000000000e+00
5.402037024310631068e+02,5.416954182979667394e+02,1.000000000000000000e+00
5.416954182979667394e+02,5.431871341648702582e+02,0.000000000000000000e+00
5.431871341648702582e+02,5.446788500317738908e+02,0.000000000000000000e+00
5.446788500317738908e+02,5.461705658986775234e+02,0.000000000000000000e+00
5.461705658986775234e+02,5.476622817655811559e+02,0.000000000000000000e+00
5.476622817655811559e+02,5.491539976324846748e+02,0.000000000000000000e+00
5.491539976324846748e+02,5.506457134993883074e+02,0.000000000000000000e+00
5.506457134993883074e+02,5.521374293662918262e+02,0.000000000000000000e+00
5.521374293662918262e+02,5.536291452331954588e+02,0.000000000000000000e+00
5.536291452331954588e+02,5.551208611000990913e+02,0.000000000000000000e+00
5.551208611000990913e+02,5.566125769670027239e+02,0.000000000000000000e+00
5.566125769670027239e+02,5.581042928339062428e+02,0.000000000000000000e+00
5.581042928339062428e+02,5.595960087008098753e+02,0.000000000000000000e+00
5.595960087008098753e+02,5.610877245677135079e+02,0.000000000000000000e+00
5.610877245677135079e+02,5.625794404346170268e+02,0.000000000000000000e+00
5.625794404346170268e+02,5.640711563015206593e+02,0.000000000000000000e+00
5.640711563015206593e+02,5.655628721684242919e+02,1.000000000000000000e+00
5.655628721684242919e+02,5.670545880353279244e+02,0.000000000000000000e+00
5.670545880353279244e+02,5.685463039022314433e+02,0.000000000000000000e+00
5.685463039022314433e+02,5.700380197691350759e+02,0.000000000000000000e+00
5.700380197691350759e+02,5.715297356360387084e+02,0.000000000000000000e+00
5.715297356360387084e+02,5.730214515029422273e+02,0.000000000000000000e+00
5.730214515029422273e+02,5.745131673698458599e+02,0.000000000000000000e+00
5.745131673698458599e+02,5.760048832367494924e+02,0.000000000000000000e+00
5.760048832367494924e+02,5.774965991036530113e+02,0.000000000000000000e+00
5.774965991036530113e+02,5.789883149705566439e+02,0.000000000000000000e+00
5.789883149705566439e+02,5.804800308374602764e+02,0.000000000000000000e+00
5.804800308374602764e+02,5.819717467043637953e+02,0.000000000000000000e+00
5.819717467043637953e+02,5.834634625712674278e+02,0.000000000000000000e+00
5.834634625712674278e+02,5.849551784381710604e+02,0.000000000000000000e+00
5.849551784381710604e+02,5.864468943050746930e+02,0.000000000000000000e+00
5.864468943050746930e+02,5.879386101719782118e+02,0.000000000000000000e+00
5.879386101719782118e+02,5.894303260388818444e+02,0.000000000000000000e+00
5.894303260388818444e+02,5.909220419057854770e+02,0.000000000000000000e+00
5.909220419057854770e+02,5.924137577726889958e+02,0.000000000000000000e+00
5.924137577726889958e+02,5.939054736395926284e+02,1.000000000000000000e+00
